Plot,Treatment,CF14_Seeds,CF14_AWeight,CF14_Date,CF14_Day,CM14_Seeds,CM14_AWeight,CM14_Date,CM14_Day,CM15_DiscDiameter,CM15_RayDiameter,RDN15_Seeds,RDN15_AWeight,SW15_Seeds,SW15_AWeight,CW15_Seeds,CW15_AWeight,CF15_Seeds,CF15_AWeight,CM15_Seeds,CM15_AWeight,CM15_Date,CM15_Day,CF15_Nectar,RDN15_Nectar,SW15_Nectar
9,Water,30,0.00384,15/07/2014,196,153,0.001694771,31/07/2014,212,14.8,32.3,4,0.001025,4,0.00045,15,0.0002,NA,NA,329,0.001403951,10/08/2015,222,NA,0.515576324,0.06635514
9,Water,25,0.002496,15/07/2014,196,261,0.0016659,31/07/2014,212,17.1,44.6,3,0.001133333,12,0.00005,16,0.0004375,NA,NA,294,0.002712245,10/08/2015,222,NA,0.196261682,0.043613707
9,Water,25,0.003424,15/07/2014,196,303,0.001550825,31/07/2014,212,16,33.6,4,0.0007,18,0.000422222,17,0.000494118,NA,NA,254,0.000880709,10/08/2015,222,NA,0.478504673,NA
9,Water,18,0.003055556,15/07/2014,196,338,0.001756805,14/08/2014,226,15,31.9,4,0.000775,11,0.0002,16,0.00040625,NA,NA,305,0.00177082,13/08/2015,225,NA,NA,NA
9,Water,26,0.002207692,15/07/2014,196,314,0.002069108,14/08/2014,226,14.8,32.1,4,0.00095,4,0.000375,15,0.000426667,NA,NA,275,0.001941818,13/08/2015,225,NA,NA,NA
9,Water,19,0.003005263,23/07/2014,204,298,0.001926174,14/08/2014,226,12,42,NA,NA,NA,NA,NA,NA,NA,NA,285,0.001533684,13/08/2015,225,NA,NA,NA
9,Water,19,0.004052632,23/07/2014,204,NA,NA,NA,NA,15.7,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Water,23,0.002465217,23/07/2014,204,NA,NA,NA,NA,15.6,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Water,22,0.003404545,23/07/2014,204,NA,NA,NA,NA,15.8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Water,16,0.0032,23/07/2014,204,NA,NA,NA,NA,15.5,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Heat+Water,20,0.005415,15/07/2014,196,NA,NA,NA,NA,15.1,35.2,4,0.000425,18,0.000594444,12,0.000491667,15,0.002386667,209,0.001511962,10/08/2015,222,0.085669782,NA,0.03271028
10,Heat+Water,28,0.003014286,15/07/2014,196,NA,NA,NA,NA,21.4,43.6,3,0.0009,23,0.000721739,17,0.000658824,13,0.004192308,184,0.00089837,10/08/2015,222,0.119937695,NA,NA
